x,y,z,class
0.003357312,0.006689414,0.011283875,N
0.003531076,-0.001853094,0.008627892,N
0.001942268,0.002408728,0.010299683,N
-0.001358273,0.006673604,0.009619713,N
0.007631524,-0.001770541,0.005369186,N
0.001524631,0.002002701,0.005182266,N
0.002095422,0.001335964,0.003453255,N
0.001163298,-0.001847222,9.78E-04,N
-3.32E-04,-0.003960446,5.41E-04,N
4.62E-04,-0.002722442,3.58E-04,N
0.003104438,-0.004888818,-0.009850502,N
0.003633417,4.53E-04,-4.39E-05,N
0.003255973,2.04E-04,-0.006195068,N
0.001992047,1.38E-04,-0.00412941,N
9.30E-04,0.00297375,-0.005037308,N
0.013074143,0.009140223,-0.008936882,N
-0.005866246,-0.003000066,-0.002369881,N
0.002715461,-0.00431785,-0.003779411,N
6.12E-04,0.002349615,-0.003716469,N
-0.001599491,-0.006766275,-0.00565815,N
-0.006070742,-0.002979666,-0.002590179,N
0.002927681,9.39E-04,-0.002528191,N
-7.95E-04,-0.012656838,-0.006671906,N
-0.008692143,0.004409537,-0.002263069,N
0.031642493,-0.052598879,2.83E-04,N
0.00181907,0.049626231,3.79E-04,N
-0.042857781,0.084612355,-0.002531052,N
-0.021415232,0.036339082,0.013875008,N
-0.269114494,-3.209939003,1.988559723,N
1.658238173,-2.88027668,0.688142776,N
0.323081255,-1.101323128,-0.433543205,N
0.162489176,-0.840009689,-0.263227463,N
1.568638563,-0.47565794,1.39950943,N
0.456466913,-1.251550198,0.347782135,N
1.228497267,-1.456233978,2.076508522,N
6.037766457,4.396501541,-0.354949474,N
-2.328135967,-8.412992477,4.10015583,N
0.887280107,-1.934524536,-2.55880022,N
0.062999532,0.669982433,1.652201653,N
1.596393466,0.307096004,2.649238586,N
1.107602477,-1.381854057,0.53057909,N
0.154070288,-1.592362404,-1.167596817,N
2.966970921,-1.70785141,1.588736534,N
-0.77565062,-0.378173828,1.878984451,N
0.236736536,-0.875870705,0.572597027,N
1.073470592,-1.76537466,1.550352097,N
1.094250202,-1.697323322,0.978178501,N
-0.661872149,-0.527343273,1.129390717,N
-0.600525856,-0.042700768,-0.117551327,N
0.260189205,-0.710855484,0.661489487,N
0.371141106,-1.077140808,0.81583786,N
0.0819951,-0.737503529,0.4506073,N
0.215807915,-0.760511875,0.45765686,N
0.17788136,-0.722752571,0.505008698,N
0.078415111,-0.658429146,0.443118095,N
0.214891493,-0.621568203,0.361909866,N
0.062680691,-0.561610222,0.445901871,N
0.080290809,-0.551878929,0.37561512,N
-0.170901567,-0.522892952,0.600813866,N
-0.292444885,-0.116304398,1.739628792,N
-0.751869202,-1.18798542,1.716113567,N
0.030249357,-2.128516197,0.462164402,N
2.490013123,-1.543468952,-3.248148441,N
1.69583869,-1.084973812,-1.427990913,N
-0.761695623,-0.905945063,3.198122025,N
-1.511056423,0.443665385,1.595824718,N
-2.046029568,-0.769478321,0.910498142,N
1.412289143,-1.696384907,-1.114679813,N
1.638511181,-0.653736115,-0.209262848,N
-2.463127375,0.341631472,1.801058769,N
0.560504913,-0.262645841,-0.944678307,N
0.636660099,0.473929882,0.455492973,N
0.82654798,0.247401118,0.230640411,N
-0.78754878,-0.131144285,1.148439407,N
0.577887177,0.032022476,-0.321200371,N
2.115285158,-0.935492516,1.201036453,N
0.599490106,0.352585793,-3.268662453,N
0.672543764,0.111190796,0.098930359,N
1.285276175,-0.550537109,3.03340435,N
0.646383047,-1.031758308,-0.30922699,N
-0.200650603,0.084901333,-0.48554039,N
0.191651553,0.378659248,-0.039890289,N
0.539853692,0.314684629,0.00932312,N
0.727389216,-0.053745508,0.068268776,N
0.616106212,-0.111374855,-0.54847908,N
-0.050998509,0.346413612,0.458846092,N
0.524138212,-0.467151165,0.497545242,N
0.103107721,-0.248597145,-0.282548904,N
0.397253245,0.1264925,0.028794289,N
0.32364893,0.163656712,-0.064315796,N
0.326191902,0.208075523,-0.359856606,N
0.311097264,0.483255863,-0.416578293,N
0.445916325,0.351256371,0.220238686,N
0.39170897,0.169863462,-0.095067978,N
0.11402595,-0.036247253,0.118631363,N
0.168430805,0.186323643,-0.146901131,N
0.285564005,0.118890047,0.10048008,N
0.560411096,0.148415089,-0.278199196,N
1.178647041,0.390396357,0.475203991,N
1.090357542,-0.816127777,1.490681648,N
0.62142849,-1.535119295,-0.470009804,N
-4.305371761,0.339776754,0.529573441,N
-2.554066658,0.281839371,0.110481262,N
-0.933842421,-0.602875948,0.197669983,N
1.698138475,-0.974243402,-0.54794693,N
0.986648202,0.11773777,0.149072647,N
0.580949664,0.146538258,0.134022713,N
0.307012081,-0.062528372,-0.003850937,N
0.093712091,0.174033165,0.05748558,N
0.275139689,0.090492725,0.060936928,N
0.144687325,0.015959501,0.062718391,N
0.023069024,0.136563778,-0.032473564,N
0.13516137,0.054401875,-0.003840446,N
-0.074618548,0.072694778,0.033590317,N
0.26940304,-0.021885872,-0.118340492,N
0.200394183,0.009957314,0.117712021,N
0.328499436,-0.158474922,0.09181118,N
2.212850094,-1.234540224,-0.029728889,N
-0.074223816,-0.917464495,0.842473984,N
-3.075120687,0.680711269,-0.397078514,N
-1.681107521,0.615606785,-0.547527313,N
-0.175082654,-0.302341461,-0.044791222,N
0.551046371,-0.620872974,0.437332153,N
0.201012492,-0.186514139,-0.331692696,N
0.837268591,-0.398502111,-0.356431961,N
-0.005726099,0.47516489,0.350440025,N
0.227555901,-0.125974178,-0.137299538,N
0.124781966,0.044299364,0.10099411,N
-0.080165178,0.051136255,-0.042373657,N
-0.003873497,-0.05140388,0.154650688,N
0.260539681,-0.573035479,0.179027557,N
-0.039776355,0.28511405,-0.158245087,N
0.06568861,0.051393509,-0.130237579,N
